login_frequency,feature_usage_score,support_ticket_count,nps_score,contract_value,duration_months,total_interactions_30d,negative_sentiment_ratio,avg_interaction_duration,days_since_last_interaction,support_interaction_ratio,churned
48,76,3,9,21000,1,16,22.8,44.1,12,30.2,1
36,49,6,3,32000,27,18,51.9,10.8,6,45.0,1
41,74,0,8,90000,23,18,0.6,50.4,4,7.5,0
43,82,0,8,68000,25,24,12.4,31.2,5,11.9,0
14,20,14,1,25000,4,4,78.3,4.0,52,64.6,1
5,17,6,3,11000,8,3,76.1,11.0,57,64.9,1
17,35,2,5,35000,19,15,23.0,23.7,8,20.0,1
1,14,15,1,18000,5,2,81.2,9.3,67,65.0,1
17,35,2,5,31000,14,15,21.5,28.9,7,25.2,0
48,85,2,8,45000,30,25,3.3,58.0,6,4.6,0
5,25,6,3,18000,7,0,0.0,0.0,90,0.0,1
31,46,2,7,16000,2,16,20.9,17.8,6,26.7,0
2,18,14,2,17000,2,6,97.1,7.3,32,73.7,1
36,61,8,3,43000,27,12,56.8,19.3,12,45.0,1
46,69,1,10,67000,48,26,6.1,31.2,5,11.9,0
33,56,2,5,49000,14,9,19.0,30.6,22,20.0,0
23,44,5,7,41000,4,4,31.2,42.5,18,19.0,0
2,7,12,1,23000,4,4,88.2,14.9,53,65.6,1
55,85,2,8,53000,44,25,13.0,39.3,3,16.4,0
43,77,1,8,64000,22,19,8.6,50.5,6,9.9,0
25,39,4,5,20000,20,12,21.7,20.7,16,20.4,1
33,40,2,5,22000,12,12,17.4,21.5,13,20.0,1
25,35,3,6,25000,24,8,25.9,21.3,24,30.7,0
32,56,2,5,41000,10,9,19.3,32.0,17,20.0,0
31,45,7,3,45000,25,8,63.0,22.3,18,49.4,1
43,75,2,7,88000,40,15,13.7,48.3,7,19.0,0
12,24,3,6,20000,3,17,21.8,43.7,5,12.4,0
12,21,3,7,29000,6,18,19.1,38.6,4,10.3,0
34,45,2,5,30000,20,13,25.3,21.0,12,29.2,0
21,45,6,4,43000,20,12,62.0,19.6,16,46.6,1
18,39,5,6,42000,9,9,33.2,15.8,17,29.6,1
2,19,11,2,14000,3,0,0.0,0.0,90,0.0,1
39,52,4,5,55000,21,12,69.4,20.8,13,57.5,0
29,46,5,4,50000,13,9,21.6,33.8,17,20.0,1
51,82,0,10,43000,35,19,13.5,40.4,5,11.8,0
43,77,2,7,78000,26,27,2.1,61.4,1,4.7,0
46,82,2,10,51000,48,18,4.7,65.6,6,6.8,0
52,92,2,9,81000,46,30,5.9,54.1,0,0.0,0
18,35,5,4,29000,16,15,28.0,29.5,7,26.4,1
38,65,2,10,77000,21,20,3.7,27.9,5,9.0,0
39,46,8,3,52000,18,11,46.0,10.1,16,45.0,1
46,78,2,8,90000,25,20,11.8,50.0,7,12.4,0
31,53,4,3,41000,15,9,63.9,20.5,20,56.1,1
5,20,12,1,24000,11,1,50.1,6.4,81,50.1,1
26,39,4,5,32000,15,6,17.6,29.9,25,20.0,1
57,77,0,8,74000,28,25,9.7,31.1,6,8.8,0
